Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
8/20/1920,No. 19,Degnan,OK,10,Coal,Explosion,UG,Coal
11/15/1920,Arnold,Earlington,KY,6,Coal,Fire,UG,Coal
11/22/1920,Parrish,Parrish,AL,12,Coal,Explosion,UG,Coal
2/11/1921,Moffat Nos. 1 & 2,Oak Hill,CO,5,Coal,Explosion,UG,Coal
2/22/1921,Kathleen,Dowell,IL,7,Coal,Fire,UG,Coal
3/8/1921,Rahn No. 11,Seek,PA,5,Coal,Explosion,UG,Coal
8/30/1921,Harco,Harrisburg,IL,12,Coal,Explosion,UG,Coal
12/12/1921,Satanic,Morrison,CO,6,Coal,Fire,UG,Coal
1/29/1922,Layman,Hulen,KY,6,Coal,Explosion,UG,Coal
2/1/1922,Gates No. 2,Gates,PA,25,Coal,Explosion,UG,Coal
2/1/1922,Belle Ellen No. 2,Belle Ellen,AL,9,Coal,Explosion,UG,Coal
2/6/1922,Marietta,Pinson Fork,KY,9,Coal,Explosion,UG,Coal
3/19/1922,Dilltown No. 1,Dilltown,PA,5,Coal,Explosion,UG,Coal
3/23/1922,Sopris No. 2,Sopris,CO,17,Coal,Explosion,UG,Coal
5/24/1922,Acmar No. 3,Acmar,AL,11,Coal,Explosion,UG,Coal
6/24/1922,Central Coal & Coke,Huntington,AR,5,Coal,Suffocation,UG,Coal
6/26/1922,Holston Quarry,Strawplains,TN,9,Marble,Explosion,UG,Coal
8/26/1922,Argonaut,Jackson,CA,47,Gold,Fire,UG,Metal
9/22/1922,Raleigh-Wyoming #2,Glen Rogers,WV,5,Coal,Haulage,UG,Coal
9/28/1922,Lake Creek,Johnston City,IL,5,Coal,Explosion,UG,Coal
10/10/1922,No. 11 Progressive,McCurtain,OK,8,Coal,Explosion,UG,Coal
11/4/1922,#4 Anthracite Mine,Madrid,NM,7,Coal,Explosion,UG,Coal
11/5/1922,Reilly No. 1,Spangler,PA,79,Coal,Explosion,UG,Coal
11/21/1922,Dolomite No. 3,Dolomite,AL,90,Coal,Explosion,UG,Coal
11/24/1922,No. 4,Cerillos,NM,12,Coal,Explosion,UG,Coal
1/9/1923,Dolomite No. 1,Dolomite,AL,5,Coal,Explosion,UG,Coal
2/7/1923,Stag Canon No. 1,Dawson,MN,120,Coal,Explosion,UG,Coal
2/20/1923,Alliance,Kaska,PA,5,Coal,Explosion,UG,Coal
3/1/1923,Arista,Arista,WV,10,Coal,Explosion,UG,Coal
5/4/1923,Southwestern,Aguilar,CO,10,Coal,Explosion,UG,Coal
6/25/1923,Richards Colliery,Mount Carmel,PA,5,Coal,Explosion,UG,Coal
7/11/1923,Sloss No. 1,Bessemer,AL,5,Iron,Haulage - man-trip,UG,Metal
8/13/1923,Frontier No. 1,Kemmerer,WY,99,Coal,Explosion,UG,Coal
10/6/1923,Midwest,Palisades,CO,6,Coal,Explosion,UG,Coal
11/5/1923,Glen Rogers,Beckley,WV,27,Coal,Explosion,UG,Coal
12/6/1923,Black Hawk,"Happy, Perry Co.",KY,9,Coal,Explosion,UG,Coal
12/7/1923,Mount Jessup No. 1,Jessup,PA,5,Coal,Roof fall/bump,UG,Coal
1/24/1924,McClintock,Johnston City,IL,33,Coal,Explosion,UG,Coal
1/25/1924,Lancashire No. 18,Shanktown,PA,36,Coal,Explosion,UG,Coal
2/4/1924,Milford,Crosby,MN,41,Manganiferous iron ore,Inrush of water,UG,Metal
3/7/1924,No. 2,Castle Gate,UT,172,Coal,Explosion,UG,Coal
3/27/1924,Yukon No. 2,Yukon,WV,26,Coal,Explosion,UG,Coal
4/27/1924,Benwood,Benwood,WV,119,Coal,Explosion,UG,Coal
6/5/1924,Loomis Colleries,Nanticoke,PA,14,Coal,Explosion,UG,Coal
7/24/1924,Gates No. 1,Brownsville,PA,10,Coal,Explosion,UG,Coal
9/15/1924,Sublet No. 5,Sublet,WY,39,Coal,Explosion,UG,Coal
9/20/1924,Rains,Rains,UT,5,Coal,Explosion,UG,Coal
12/16/1924,Burnett,Burnett,WA,7,Coal,Explosion,UG,Coal
1/14/1925,Diamond No. 1,Providence,KY,6,Coal,Explosion,UG,Coal
2/19/1925,City,Sullivan,IN,52,Coal,Explosion,UG,Coal
3/16/1925,Barrackville,Barrackville,WV,33,Coal,Explosion,UG,Coal
4/25/1925,Hutchison,Millgrove,PA,5,Coal,Explosion,UG,Coal
4/25/1925,New Slope,Sewickley,PA,5,Coal,Explosion,UG,Coal
5/21/1925,Woodward,Edwardsville,PA,7,Coal,Explosion,UG,Coal
5/26/1925,Carolina,Farmville,NC,53,Coal,Explosion,UG,Coal
5/30/1925,No. 2,Piper,AL,6,Coal,Explosion,UG,Coal
6/7/1925,No. 9,Sturgis,KY,17,Coal,Explosion,UG,Coal
7/22/1925,Rockwood,Rockwood,TN,10,Coal,Explosion,UG,Coal
8/2/1925,Dorrance,Wilkes-Barre,PA,10,Coal,Explosion,UG,Coal
11/12/1925,Finley,Madisonville,KY,5,Coal,Explosion,UG,Coal
12/9/1925,Overton No. 2,Irondale,AL,53,Coal,Explosion,UG,Coal
12/13/1925,Wilkeson,Tacoma,WA,5,Coal,Explosion,UG,Coal
12/21/1925,Webb,Bellaire,OH,9,Coal,Fire,UG,Coal
1/12/1926,No. 21,Wilburton,OK,91,Coal,Explosion,UG,Coal
1/13/1926,Jamison No. 8,Farmington,WV,19,Coal,Explosion,UG,Coal
1/28/1926,New Orient No. 2,West Frankfort,IL,5,Coal,Explosion,UG,Coal
1/28/1926,Mossboro No. 1,Helena,AL,27,Coal,Explosion,UG,Coal
2/2/1926,Horning No. 4,Horning,PA,20,Coal,Explosion,UG,Coal
2/15/1926,Nelson,Nelson,KY,8,Coal,Explosion,UG,Coal
3/7/1926,Eccles No. 5,Eccles,WV,19,Coal,Explosion,UG,Coal
5/5/1926,Randolph Colliery,Port Carbon,PA,5,Coal,Explosion,UG,Coal
7/2/1926,Pettebone Colliery # 6,Kingston,PA,7,Coal,Explosion,UG,Coal
7/20/1926,Dixie,Moffat,AL,9,Coal,Explosion,UG,Coal
8/25/1926,Clymer No. 1,Clymer,PA,44,Coal,Explosion,UG,Coal
9/2/1926,Tahona,Tahona,OK,16,Coal,Explosion,UG,Coal
10/3/1926,Rockwood,Rockwood,TN,27,Coal,Explosion,UG,Coal
10/29/1926,Colliery No. 7,Nanticoke,PA,9,Coal,Explosion,UG,Coal
11/2/1926,Barnes Hecker,Ishpeming,MI,51,Iron,Flood,UG,Metal
