Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
10/29/1952,"Herron, Alpena Enterprises",Herron,MI,5,Gold Prospect,Shaft explosion,UG,Metal
3/29/1953,O'Brien,Lovilia,IA,5,Coal,Explosion,UG,Coal
3/30/1954,Santa Rita Open Pit,Santa Rita,NM,5,Copper,Premature blast,Surface,Metal
11/12/1954,Jamison No. 9,Farmington,WV,16,Coal,Explosion,UG,Coal
1/17/1957,Evan Jones,Jonesville,AK,5,Coal,Explosion,UG,Coal
2/3/1957,Bishop No. 34,McDowell County,WV,37,Coal,Explosion,UG,Coal
9/22/1957,Marianna No. 58,Marianna,PA,6,Coal,Explosion,UG,Coal
12/8/1957,Glen Rogers No. 2,Glen Rogers,WV,5,Coal,Roof fall/bump,UG,Coal
12/26/1957,Amonate No. 31,McDowell Co.,WV,11,Coal,Explosion,UG,Coal
2/11/1958,Lundale,Lundale,WV,6,Coal,Roof fall/bump,UG,Coal
10/26/1958,Bishop No. 34,McDowell County,WV,22,Coal,Explosion,UG,Coal
10/27/1958,Burton Mine,Craigsville,WV,14,Coal,Explosion,UG,Coal
1/21/1959,River Slope,Port Griffith,PA,12,Coal,Inundation,UG,Coal
3/22/1959,Phillips and West,Robbins,TN,9,Coal,Explosion,UG,Coal
5/31/1959,Sherwood Mine,Iron River,MI,6,Iron ore,Inrush hot gases/steam,UG,Metal
3/7/1960,No. 22,Pine Creek,WV,18,Coal,Fire,UG,Coal
3/1/1961,Viking Mine,Terre Haute,IN,22,Coal,Explosion,UG,Coal
1/9/1962,Blue Blaze No. 2,Herrin,IL,11,Coal,Explosion,UG,Coal
12/5/1962,Robena No. 3,Carmichaels,PA,37,Coal,Explosion,UG,Coal
4/24/1963,Compass No. 2,Dola,WV,22,Coal,Explosion,UG,Coal
8/27/1963,Cane Creek Mine,Moab,UT,18,Potash,Gas explosion,UG,Metal
12/15/1963,Carbon Fuel No. 2,Helper,UT,9,Coal,Explosion,UG,Coal
5/23/1965,C. L. Cline No. 2,Robbins,TN,5,Coal,Explosion,UG,Coal
10/15/1965,Mars No. 2,Wilsonburg,WV,7,Coal,Explosion,UG,Coal
12/27/1965,Dutch Creek Mine,Redstone,CO,9,Coal,Explosion,UG,Coal
5/31/1966,Dora No.2,Dora,PA,5,Coal,Suffocation,UG,Coal
7/22/1966,Siltex Mine,Mt. Hope,WV,7,Coal,Explosion,UG,Coal
3/5/1968,Belle Isle Mine,Franklin,LA,21,Salt,Fire,UG,Nonmetal
8/6/1968,River Queen,Greenville,KY,9,Coal,Explosion,UG,Coal
11/19/1968,Consol No. 9,Farmington,WV,78,Coal,Explosion,UG,Coal
12/29/1970,Finley Coal No. 15 & 16,Hyden,KY,38,Coal,Explosion,UG,Coal
4/11/1971,Barnett Complex Mine,Rosiclare,IL,7,Flurospar,Hydrogen Sulfide Gas,UG,Nonmetal
2/25/1972,Buffalo Mining Co.,Saunders,WV,114,Coal,Dam failure,UG,Coal
5/1/1972,Sunshine Mining Company,Kellogg,ID,91,Silver,Fire,UG,Metal
7/21/1972,Blacksville No. 1,Blacksville,WV,9,Coal,Fire,UG,Coal
12/15/1972,Itmann No. 3,Itmann,WV,5,Coal,Explosion,UG,Coal
3/8/1976,Scotia,Ovenfork,KY,15,Coal,Explosion,UG,Coal
3/10/1976,Scotia (second) *,Ovenfork,KY,11,Coal,Explosion,UG,Coal
2/28/1977,Porter Tunnel,Tower City,PA,9,Coal,Flood,UG,Coal
4/3/1978,Moss No. 3 *,Duty,VA,5,Coal,Suffocation (oxygen deficient air),UG,Coal
6/7/1979,Belle Isle Mine,Franklin,LA,5,Salt,Gas explosion,UG,Nonmetal
11/6/1980,Ferrell No. 17,Uneeda,WV,5,Coal,Explosion,UG,Coal
4/14/1981,Mid-Continent Resources Dutch Creek #1,Redstone,CO,15,Coal,Explosion,UG,Coal
12/6/1981,Adkins Coal Mine #11,Kite,KY,8,Coal,Explosion,UG,Coal
12/7/1981,Grundy Mining Co. Mine #21,Whitewell,TN,13,Coal,Explosion,UG,Coal
1/19/1982,RHF No. 1,Craynor,KY,7,Coal,Explosion,UG,Coal
6/20/1983,McClure #1 Mine,McClure,VA,7,Coal,Explosion,UG,Coal
12/18/1984,Wilberg Mine,Orangeville,UT,27,Coal,Fire,UG,Coal
2/5/1986,Loveridge No. 22,Fairview,WV,5,Coal,Collapsed coal pile caused suffocation,UG,Coal
9/12/1989,William Station No. 9 Mine,Sullivan,KY,10,Coal,Explosion,UG,Coal
12/6/1992,No. 3 Mine,Norton,VA,8,Coal,Explosion,UG,Coal
9/22/2001,No. 5 Mine,Brookwood,AL,13,Coal,Explosion,UG,Coal
1/1/2006,Sago Mine,Buckhannon,WV,12,Coal,Explosion,UG,Coal
5/19/2006,Darby Mine No. 1,Middlesboro,KY,5,Coal,Explosion,UG,Coal
8/5/2007,Crandall Canyon Mine **,Huntington,UT,6,Coal,Fall of face or rib,UG,Coal
4/4/2010,Upper Big Branch Mine-South,Montcoal,WV,29,Coal,Ignition or explosion of gas or dust,UG,Coal
